iter	Passed	Remaining
398	387176	389116
399	388143	388143
400	389188	387247
401	390172	386290
402	391232	385408
403	392187	384421
404	393200	383491
405	394199	382548
406	395116	381524
407	396171	380635
408	397161	379682
409	398205	378780
410	399169	377803
411	400197	376885
412	401221	375963
413	402122	374925
414	402892	373767
415	403874	372807
416	404985	371965
417	405878	370922
418	406720	369833
419	407833	368992
420	408819	368034
421	409816	367086
422	410758	366089
423	411734	365123
424	412803	364238
425	413815	363302
426	414761	362309
427	415810	361405
428	416738	360395
429	417735	359446
430	418696	358466
431	419676	357501
432	420723	356595
433	421658	355591
434	422623	354615
435	423610	353656
436	424644	352736
437	425614	351763
438	426632	350830
439	427624	349874
440	428602	348907
441	429685	348025
442	430621	347024
443	431615	346070
444	432567	345081
445	433651	344199
446	434644	343242
447	435705	342339
448	436663	341356
449	437665	340406
450	438794	339555
451	439751	338570
452	440818	337668
453	441802	336703
454	442833	335775
455	443794	334792
456	444831	333867
457	445769	332867
458	446799	331936
459	447732	330932
460	448706	329959
461	449724	329019
462	450732	328071
463	451753	327132
464	452827	326230
465	453821	325271
466	454847	324334
467	455838	323372
468	456939	322487
469	457969	321552
470	458943	320578
471	459841	319550
472	460881	318621
473	461833	317632
474	462784	316642
475	463781	315682
476	464782	314726
477	465745	313744
478	466618	312702
479	467577	311718
480	468553	310745
481	469514	309762
482	470563	308837
483	471518	307850
484	472616	306957
485	473618	306000
486	474635	305053
487	475619	304084
488	476639	303138
489	477635	302177
490	478579	301183
491	479619	300249
492	480543	299243
493	481462	298233
494	482492	297293
495	483515	296348
496	484476	295365
497	485451	294390
498	486566	293500
499	487477	292486
500	488452	291511
501	489459	290555
502	490391	289555
503	491344	288567
504	492442	287664
505	493468	286718
506	494452	285748
507	495530	284832
508	496537	283875
509	497565	282929
510	498532	281948
511	499531	280986
512	500573	280048
513	501442	279012
514	502421	278039
515	503443	277088
516	504497	276156
517	505456	275171
518	506509	274237
519	507461	273248
520	508502	272307
521	509623	271408
522	510589	270426
523	511654	269497
524	512606	268507
525	513581	267531
526	514586	266569
527	515636	265630
528	516618	264657
529	517555	263660
530	518526	262680
531	519609	261758
532	520670	260823
533	521628	259837
534	522635	258875
535	523643	257913
536	524571	256913
537	525662	255991
538	526666	255027
539	527614	254036
540	528620	253073
541	529511	252055
