iter	PRAUC	Logloss
72	0.7070364492	0.6128704312
73	0.7071998146	0.6127544705
74	0.7073557129	0.6126445317
75	0.7074776831	0.6125518045
76	0.7076126534	0.6124561357
77	0.707718419	0.6123792432
78	0.7078505446	0.612236309
79	0.7079447765	0.6121622576
80	0.7080543892	0.6120841646
81	0.7081628813	0.6119995696
82	0.708242521	0.6119243562
83	0.7083999693	0.6117832114
84	0.7085153937	0.6117088984
85	0.7086285063	0.6116105959
86	0.7087440203	0.6115179824
87	0.708799616	0.6114433661
88	0.7088919527	0.6113722806
89	0.708946204	0.6113012516
90	0.7090213216	0.611230541
91	0.7090782218	0.611174858
92	0.7091509178	0.611114398
93	0.7092753411	0.6110316281
94	0.7094371982	0.6108897447
95	0.7095375176	0.610819452
96	0.7096275018	0.6107318593
97	0.7097262886	0.6106567488
98	0.7098416665	0.6105734611
99	0.709911749	0.6105164491
100	0.7099913119	0.6104406401
101	0.7100796649	0.6103495789
102	0.7101520668	0.6102859953
103	0.710210608	0.6102290497
104	0.7102696776	0.6101761185
105	0.71033536	0.6101093659
106	0.7103986961	0.6100533864
107	0.7105169806	0.609939227
108	0.7105962139	0.6098886688
109	0.7106631613	0.6098407102
110	0.7107689242	0.6097468682
111	0.7108412742	0.6096923471
112	0.7109368929	0.6096013773
113	0.7110012996	0.6095358498
114	0.7110908352	0.6094723803
115	0.7111389736	0.6094130425
116	0.7112227936	0.6093507604
117	0.7113019247	0.6092885845
118	0.71138437	0.6092307309
119	0.7114243605	0.6091848827
120	0.7114984922	0.6091129802
121	0.7115484559	0.6090467715
122	0.7116189763	0.6089925846
123	0.7116829585	0.60894554
124	0.7117482287	0.6088959752
125	0.7118120019	0.6088503002
126	0.7118653554	0.6087964671
127	0.7119515987	0.6087423233
128	0.712045629	0.6086662239
129	0.7121037775	0.6086033528
130	0.7121727245	0.6085597012
131	0.7122711983	0.6084924378
132	0.7123232742	0.6084542858
133	0.7123510606	0.6084295375
134	0.7123849301	0.6083906318
135	0.7124384467	0.6083468743
136	0.7125262512	0.6082765982
137	0.7125842439	0.6082272705
138	0.7126381129	0.6081897422
139	0.7127047755	0.6081416603
140	0.7127674845	0.6081003538
141	0.7128182195	0.6080653663
142	0.7128802936	0.6080188545
143	0.7129492349	0.6079788123
144	0.7129981005	0.6079416607
145	0.7130551445	0.6079039009
146	0.7130931566	0.6078742334
147	0.7131345122	0.6078425943
148	0.7131976097	0.6077894811
149	0.7132442085	0.6077395308
150	0.7132994658	0.6076985583
151	0.7133753349	0.6076476894
152	0.7133976732	0.6076106238
153	0.713450635	0.6075768802
154	0.7135211104	0.6075247509
155	0.7135666629	0.6074900552
156	0.7136303075	0.6074509117
157	0.7137024518	0.6073926524
158	0.7137612345	0.6073509472
159	0.7137973385	0.607323406
160	0.7138459069	0.6072897746
161	0.7139006464	0.6072348607
162	0.7139387703	0.6071839591
163	0.7139902637	0.6071370366
164	0.7140399938	0.6071019542
165	0.7140791386	0.6070621703
166	0.7141270302	0.6070182038
167	0.7141863854	0.6069821393
168	0.7142409882	0.606935567
169	0.7143067635	0.6068967477
170	0.7143765428	0.6068488668
171	0.7144297909	0.6068116768
172	0.7144724972	0.6067809461
173	0.7145135475	0.6067547232
174	0.7145465485	0.6067306876
175	0.7145780556	0.6067005791
176	0.7146095376	0.6066748121
177	0.71464043	0.606641901
178	0.7146782015	0.6066119464
179	0.7147083768	0.6065829059
180	0.7147443539	0.6065530026
181	0.7147936944	0.6065141961
182	0.7148565453	0.6064660382
183	0.7148853695	0.6064448541
184	0.7149197146	0.6064133829
185	0.7149438615	0.606391777
186	0.7149790046	0.6063670411
187	0.7150249328	0.6063315025
188	0.7150662677	0.6063073452
189	0.7151295192	0.6062623513
190	0.7151744268	0.6062329003
191	0.7152203836	0.6061957351
192	0.715260111	0.6061600356
193	0.7152968368	0.6061292156
194	0.7153448286	0.6060951712
195	0.7153818888	0.6060701043
196	0.7154306344	0.6060363041
197	0.715479959	0.6060099381
198	0.715516556	0.6059839446
199	0.7155617283	0.6059615938
200	0.715596716	0.6059315579
201	0.7156323331	0.6058992977
202	0.7156676468	0.6058741702
203	0.715697831	0.6058482341
204	0.7157658728	0.6058011516
205	0.7158102567	0.6057707184
206	0.7158362924	0.6057446009
207	0.7158704139	0.605717371
208	0.7159187504	0.6056868073
209	0.7159613029	0.6056427404
210	0.7160059609	0.605606706
211	0.7160493742	0.605582801
212	0.7160858494	0.6055609198
213	0.7161177216	0.6055385346
214	0.716149444	0.6055070408
215	0.7161878005	0.6054824974
216	0.716237372	0.6054512305
217	0.716275146	0.6054253641
218	0.7163138188	0.605388858
219	0.7163541575	0.6053637376
220	0.7163979509	0.6053368488
221	0.7164400419	0.6053082244
222	0.7164794815	0.6052814597
223	0.7165469854	0.6052493119
224	0.716601476	0.605211354
225	0.7166630133	0.6051759595
226	0.7167092343	0.6051442469
227	0.7167407627	0.6051222867
228	0.7167885077	0.6050907208
229	0.716834631	0.6050585649
230	0.7168396283	0.6050559436
231	0.7168664574	0.60503494
232	0.7168976127	0.6050015776
233	0.7169297529	0.6049796898
234	0.7169587986	0.6049590713
235	0.7169760951	0.6049443274
236	0.7169955985	0.6049250481
237	0.7170134318	0.6049053999
238	0.7170467855	0.6048795195
239	0.7171108253	0.6048466745
240	0.7171438382	0.6048245739
241	0.7171736198	0.6047952208
242	0.7172173189	0.604773226
243	0.7172398767	0.6047554301
244	0.7172710179	0.6047349675
245	0.7172976412	0.6047155735
246	0.7173398131	0.6046825791
247	0.7173623338	0.6046663729
248	0.7173874387	0.6046405272
249	0.7174200056	0.604613232
250	0.7174630754	0.604580489
251	0.7175019971	0.6045543364
252	0.7175441525	0.604522283
253	0.717590708	0.6044910583
254	0.7176225205	0.6044703997
255	0.7176475725	0.6044490426
256	0.7176850868	0.60442166
257	0.7177118312	0.6043975921
258	0.7177441241	0.6043705871
259	0.7177807393	0.6043451235
260	0.7178200558	0.6043200569
261	0.7178673641	0.6042859065
262	0.7179031476	0.6042663301
263	0.7179330791	0.6042488629
264	0.7179699534	0.6042217034
265	0.7180181055	0.604184433
266	0.7180548935	0.6041605683
267	0.7180829498	0.6041387917
268	0.7181238437	0.6041066479
269	0.7181589966	0.6040822337
270	0.7181999982	0.6040532282
271	0.7182269518	0.6040323447
272	0.718259117	0.6040016852
273	0.7183038449	0.6039770974
274	0.718331851	0.6039530738
275	0.718358115	0.6039349559
276	0.7183873267	0.603914393
277	0.7184089269	0.6038926696
278	0.7184330945	0.6038701525
279	0.7184596575	0.603846657
280	0.7184776908	0.603830943
281	0.7185076905	0.603803537
282	0.7185274487	0.6037767917
283	0.7185497865	0.6037586243
284	0.7185967242	0.6037362861
285	0.7186185963	0.6037198834
286	0.7186430521	0.6036980031
287	0.7186631412	0.6036751715
288	0.7186889048	0.6036548936
289	0.7187159696	0.603618702
290	0.7187513212	0.6035965918
291	0.7188045256	0.6035620264
292	0.7188274567	0.603540803
293	0.7188497779	0.6035197605
294	0.7188943084	0.6034928506
295	0.7189259122	0.6034733729
296	0.7189511753	0.6034537547
297	0.718984663	0.6034301514
298	0.7190219418	0.6034046413
299	0.7190551485	0.6033760769
300	0.7190750825	0.6033569927
301	0.7190962227	0.6033315094
302	0.7191314314	0.6033086997
303	0.7191599643	0.6032881943
304	0.7191845176	0.6032658046
305	0.7192085643	0.6032444023
306	0.7192447297	0.6032147944
307	0.7192793126	0.6031921555
308	0.7193125491	0.6031695068
309	0.7193372909	0.6031468402
310	0.7193728234	0.6031253326
311	0.7193993479	0.6031017193
312	0.7194324383	0.6030722015
313	0.7194489866	0.603050727
314	0.7194756285	0.6030317661
315	0.719510504	0.6030074418
316	0.7195443103	0.6029826439
317	0.719561409	0.6029625099
318	0.7195907206	0.6029384886
319	0.7196158496	0.6029204129
320	0.7196380343	0.6029004625
321	0.7196660647	0.6028745353
322	0.7197121518	0.6028510457
323	0.7197540587	0.6028223073
324	0.7197877106	0.6028006901
325	0.7198400066	0.6027741318
326	0.7198696317	0.6027519144
327	0.7199083053	0.6027198533
328	0.7199429723	0.6026942363
329	0.7199808246	0.6026681924
330	0.7200142285	0.6026400803
331	0.7200553073	0.6026098512
332	0.7200900638	0.6025881741
333	0.7201206598	0.6025669758
334	0.7201560791	0.6025439447
335	0.7201727561	0.6025271389
336	0.7202157288	0.6024972981
337	0.7202546608	0.6024690048
338	0.7203037757	0.6024459038
339	0.7203151625	0.6024276552
340	0.7203469225	0.6024045603
341	0.7203661918	0.6023816107
342	0.7203935144	0.6023569579
343	0.7204232759	0.6023362382
344	0.7204463529	0.6023139801
345	0.7204700689	0.6022941192
346	0.7205006776	0.6022712211
347	0.7205282173	0.6022481914
348	0.7205641643	0.6022258306
349	0.7205811119	0.6022105135
350	0.7205965102	0.602193548
351	0.7206349461	0.6021666942
352	0.7206810639	0.6021421476
353	0.7206951593	0.6021212423
354	0.7207217902	0.6021017195
355	0.7207454225	0.6020795463
356	0.7207766426	0.6020579225
357	0.7207997015	0.6020364018
358	0.7208302406	0.6020130136
359	0.720853206	0.6019892167
360	0.7208691287	0.6019726062
361	0.7208973511	0.6019559243
362	0.7209176919	0.6019392868
363	0.7209516033	0.6019145466
364	0.720973658	0.6018934698
365	0.721019383	0.6018633638
366	0.7210435524	0.6018439581
367	0.7210707409	0.6018220895
368	0.7210973734	0.6018027438
369	0.7211313355	0.601779728
370	0.7211495319	0.6017599644
371	0.7211737032	0.6017392927
372	0.7211964257	0.6017165577
373	0.7212196074	0.601697567
374	0.7212421098	0.6016778551
375	0.721277156	0.6016530907
376	0.7213025242	0.6016367904
377	0.7213301928	0.6016183365
378	0.7213570489	0.6015991412
379	0.7213782234	0.6015820599
380	0.7214095014	0.6015610523
381	0.7214301282	0.6015438879
382	0.7214507632	0.6015276218
383	0.7214740246	0.6015078652
384	0.7215012327	0.6014817733
385	0.7215241615	0.6014637914
386	0.72155256	0.60144238
387	0.7215702177	0.6014280496
388	0.7215980823	0.6014077671
389	0.7216179109	0.6013878815
390	0.7216465847	0.601365652
391	0.7216709954	0.6013447683
392	0.7216900269	0.6013271447
393	0.7217280963	0.601301541
394	0.7217553384	0.6012834594
395	0.7217841062	0.6012589327
396	0.7218003166	0.601243433
397	0.7218285259	0.6012238332
398	0.7218521379	0.6012022134
399	0.7218757347	0.6011829361
400	0.7219020141	0.6011635818
401	0.7219265642	0.6011407024
402	0.7219740471	0.6011183035
403	0.7219974147	0.6011001016
404	0.722022935	0.6010838861
405	0.722041169	0.6010656622
406	0.7220692309	0.6010484022
407	0.7220876076	0.6010316364
408	0.7221161991	0.601011415
409	0.7221350099	0.6009937549
410	0.7221509781	0.600974872
411	0.7221684991	0.6009546476
412	0.722198542	0.6009342199
413	0.7222361876	0.6009054454
414	0.7222652595	0.6008809788
415	0.7222946479	0.6008604661
416	0.7223100246	0.600841365
417	0.7223391033	0.6008209663
418	0.7223626246	0.6008013513
419	0.7223781136	0.6007852866
420	0.7224004522	0.6007670355
421	0.7224219763	0.6007515632
422	0.7224559601	0.6007296447
423	0.7224820248	0.6007112971
424	0.7224939813	0.6006983512
425	0.7225193263	0.6006808294
426	0.722543411	0.6006622071
427	0.7225660567	0.6006450673
428	0.7225844831	0.6006302787
429	0.7226170457	0.6006069583
430	0.722631455	0.6005918811
431	0.7226582628	0.6005726317
432	0.7226837714	0.6005553971
433	0.7227127784	0.6005333522
434	0.7227303526	0.6005148676
435	0.7227499687	0.6004963997
436	0.7227699733	0.6004823657
437	0.7227882319	0.6004625248
438	0.7228198478	0.6004409377
439	0.7228424105	0.6004233909
440	0.7228577706	0.600408381
441	0.7228780765	0.6003905969
442	0.7228968915	0.6003726875
443	0.7229244941	0.6003491913
444	0.7229389613	0.6003355979
445	0.7229622866	0.6003205998
446	0.7229847902	0.6003060006
447	0.7230034143	0.6002905621
448	0.7230415714	0.6002723365
449	0.7230680151	0.6002559129
450	0.7230984312	0.6002385256
451	0.7231217596	0.6002206354
452	0.7231438705	0.6002058447
453	0.7231603303	0.6001902608
454	0.723185662	0.6001732503
455	0.72320227	0.6001543471
456	0.7232149059	0.600140639
457	0.723231761	0.6001247578
458	0.723259967	0.6001058636
459	0.7232791469	0.6000896038
460	0.7232997778	0.6000730019
461	0.7233162327	0.6000590472
462	0.7233345991	0.600042626
463	0.723349936	0.6000294145
464	0.7233735731	0.6000122351
465	0.7233993935	0.5999950619
466	0.723418712	0.599980342
467	0.7234356256	0.5999649406
468	0.7234548205	0.5999495238
469	0.7234815161	0.599931828
470	0.7234992963	0.599914618
471	0.7235155436	0.5999003794
472	0.7235271129	0.5998871146
473	0.7235481841	0.5998706085
474	0.7235605017	0.5998535376
475	0.7235748268	0.5998394906
476	0.7235885909	0.5998266076
477	0.7236028198	0.5998116915
478	0.7236288716	0.5997960782
479	0.7236583751	0.5997814987
480	0.7236754545	0.5997684973
481	0.7236929006	0.599751045
482	0.7237137789	0.5997366066
483	0.7237273567	0.5997229342
484	0.7237433073	0.5997099095
485	0.723762508	0.599696167
486	0.7237790612	0.5996801288
487	0.7238037514	0.5996676527
488	0.7238329582	0.5996528502
489	0.7238507424	0.5996381979
490	0.7238666636	0.5996242068
491	0.7238956841	0.5996064156
492	0.7239105361	0.5995923839
493	0.7239322103	0.59957404
494	0.723948251	0.599560207
495	0.7239629696	0.5995481362
496	0.7239858769	0.599532665
497	0.7240083221	0.5995147455
498	0.7240244847	0.5994988727
499	0.7240491477	0.5994816157
500	0.7240700806	0.5994677048
501	0.7240877208	0.5994538131
502	0.7241092464	0.599437303
503	0.7241268314	0.5994214817
504	0.724151376	0.5994078274
505	0.7241658144	0.599392141
506	0.7241872933	0.599377829
507	0.7242035711	0.5993637956
508	0.7242256007	0.5993507243
509	0.7242415163	0.5993346927
510	0.7242655111	0.5993186622
511	0.7242840076	0.599303318
512	0.7243020967	0.5992872631
513	0.724328279	0.5992719158
514	0.724350718	0.5992561531
515	0.7243630535	0.5992420167
516	0.724383339	0.5992262132
517	0.7244009903	0.5992118872
518	0.724414652	0.5991978818
519	0.7244270875	0.5991814799
520	0.7244457432	0.5991678195
521	0.724469938	0.5991516488
522	0.7244828414	0.5991384139
523	0.7244960332	0.599124638
524	0.7245106343	0.5991115009
525	0.7245218597	0.5990993398
526	0.7245421718	0.5990850668
527	0.724566607	0.5990650844
528	0.724580087	0.5990513316
529	0.7245915225	0.5990378261
530	0.7246068376	0.5990228209
531	0.7246440402	0.599007525
532	0.7246663785	0.5989913583
533	0.7246855714	0.5989732086
534	0.7247049507	0.5989596634
535	0.7247217048	0.5989450989
536	0.7247395087	0.5989306914
537	0.724756496	0.5989172373
538	0.7247667001	0.5989030819
539	0.7247831576	0.5988885584
540	0.7247981229	0.5988741046
541	0.7248167162	0.5988554891
542	0.7248424603	0.5988406815
543	0.7248615469	0.5988239045
544	0.7248742888	0.5988107267
545	0.7248953775	0.598794265
546	0.7249097151	0.598780632
547	0.7249275702	0.598767141
548	0.7249403164	0.5987513267
549	0.724962864	0.5987350933
550	0.7249726779	0.5987216589
551	0.7249933238	0.598706995
552	0.7250075843	0.5986940145
553	0.7250207101	0.5986771963
554	0.7250428322	0.5986626901
555	0.7250648691	0.5986474328
556	0.7250780173	0.5986338345
557	0.725092934	0.5986208798
558	0.725107745	0.5986028555
559	0.7251227959	0.5985902036
560	0.7251498088	0.5985724938
561	0.7251757454	0.5985501031
562	0.7251847063	0.5985390791
563	0.7252113595	0.5985229263
564	0.725216395	0.5985141284
565	0.7252287157	0.5985016431
566	0.7252434429	0.5984895415
567	0.7252607044	0.5984748531
568	0.7252769754	0.5984601887
569	0.7252927548	0.5984461816
570	0.725326139	0.5984260327
571	0.7253417494	0.5984106815
572	0.7253681255	0.5983939229
573	0.7253829344	0.5983821198
574	0.7254031691	0.5983675846
575	0.7254212136	0.5983541814
576	0.7254392139	0.5983387571
577	0.7254499464	0.5983249222
578	0.725478944	0.598311643
579	0.7255023785	0.5982931742
580	0.7255099134	0.598285346
581	0.7255232423	0.5982710431
582	0.7255285611	0.5982600445
583	0.7255444024	0.598247542
584	0.7255582478	0.598235923
585	0.7255786176	0.5982170425
586	0.7256032563	0.5981984938
587	0.7256221204	0.5981846216
588	0.725638929	0.5981698279
589	0.7256665452	0.598154584
590	0.7256750874	0.5981410362
591	0.7256991559	0.5981258981
592	0.7257114325	0.5981139563
593	0.7257320525	0.5981001978
594	0.7257435537	0.5980896846
595	0.7257608564	0.5980764783
596	0.7257877689	0.5980649049
597	0.7258006939	0.5980534487
598	0.7258153588	0.5980409564
599	0.7258400268	0.5980238983
600	0.725856848	0.5980083023
601	0.7258718156	0.5979952547
602	0.7258873739	0.5979827146
603	0.725903682	0.597968256
604	0.7259212983	0.5979538874
605	0.7259379574	0.5979424671
606	0.7259574817	0.5979255916
607	0.7259698942	0.5979112557
608	0.7259797263	0.5978994062
609	0.725994977	0.5978862474
610	0.7260208223	0.5978733389
611	0.7260406997	0.5978604287
612	0.726047468	0.5978496354
613	0.7260653513	0.5978369627
614	0.7260795039	0.5978252169
615	0.7260932872	0.5978092596
616	0.7261112828	0.5977987299
617	0.726122823	0.5977840273
618	0.7261399695	0.5977691432
619	0.7261572145	0.5977565768
620	0.7261743401	0.5977429608
621	0.7261894485	0.5977321695
622	0.7262091465	0.5977201415
623	0.7262258103	0.5977042584
624	0.7262415479	0.5976923658
625	0.7262498077	0.5976809874
626	0.7262658634	0.5976669194
627	0.7262817528	0.5976540094
628	0.7262912642	0.597644786
629	0.7263043155	0.5976338929
630	0.7263195031	0.5976233623
631	0.7263313175	0.5976084924
632	0.7263443273	0.5975964673
633	0.7263530212	0.5975860329
634	0.7263730708	0.5975732939
635	0.7263856206	0.5975612273
636	0.7264005861	0.5975492811
637	0.7264185601	0.5975371564
638	0.7264365148	0.5975264072
639	0.7264524803	0.5975124817
640	0.7264697178	0.5974986494
641	0.7264806421	0.5974879653
642	0.7264947834	0.5974744858
643	0.7265118104	0.5974615729
644	0.7265243907	0.5974471602
645	0.7265385768	0.5974352132
646	0.7265497918	0.5974234353
647	0.7265699378	0.5974110843
648	0.7265952842	0.5973972918
649	0.7266104909	0.59738537
650	0.7266255879	0.5973740315
651	0.7266393804	0.5973661753
652	0.7266506389	0.5973539013
653	0.7266639274	0.5973412156
654	0.726681655	0.5973278794
655	0.7266919673	0.5973150922
656	0.7267088642	0.5973041383
657	0.7267261821	0.5972924684
658	0.7267499762	0.597276173
659	0.7267654842	0.5972639862
660	0.7267780079	0.5972532967
661	0.7267956534	0.5972390537
662	0.7268061184	0.5972253041
663	0.7268282391	0.5972108198
664	0.7268478465	0.5971985323
665	0.7268646503	0.5971835856
666	0.7268746389	0.5971757782
667	0.7268879149	0.5971639163
668	0.7269041401	0.5971491599
669	0.7269283278	0.597137703
670	0.7269426991	0.5971221472
671	0.7269572593	0.5971100317
672	0.7269749161	0.5970966036
673	0.7269900901	0.5970840655
674	0.7270013729	0.5970734006
675	0.7270155774	0.5970607969
676	0.7270293302	0.5970457786
677	0.7270448167	0.5970332712
678	0.7270609531	0.5970185148
679	0.7270784834	0.5970046233
680	0.7270931944	0.5969927802
681	0.7271170815	0.5969810898
682	0.7271295081	0.5969671785
683	0.7271386866	0.5969551235
684	0.7271532934	0.5969452097
685	0.7271648677	0.5969357856
686	0.7271843558	0.5969231127
687	0.7271980962	0.5969102993
688	0.7272116276	0.5968957029
689	0.7272275216	0.596883003
690	0.7272430693	0.5968707103
691	0.7272488663	0.5968635711
692	0.7272663411	0.5968503256
693	0.7272821104	0.5968367958
694	0.7273026481	0.5968254643
695	0.7273059507	0.5968191309
696	0.7273177352	0.5968070965
697	0.727334395	0.5967924975
698	0.7273536637	0.5967820461
699	0.72736753	0.5967702814
700	0.7273740765	0.5967646169
701	0.7273926685	0.5967512549
702	0.7274033714	0.5967433034
703	0.727418984	0.5967289085
704	0.7274299607	0.5967204277
705	0.7274464204	0.5967082593
706	0.7274584811	0.5966977638
707	0.7274746567	0.5966847273
708	0.7274887339	0.5966735462
709	0.7274966258	0.5966655723
710	0.727507751	0.5966558854
711	0.7275201944	0.5966440793
712	0.7275355909	0.5966334529
713	0.7275437762	0.5966251179
714	0.7275621623	0.596611379
715	0.7275763642	0.5965980611
716	0.7275902547	0.5965859078
717	0.7275988931	0.5965776426
718	0.7276121106	0.5965690014
719	0.727626393	0.5965572795
720	0.7276436611	0.5965438756
721	0.7276628724	0.5965313953
722	0.7276724381	0.5965238757
723	0.7276867238	0.5965106011
724	0.7277049476	0.596500073
725	0.7277125861	0.5964926379
726	0.727726008	0.5964816567
727	0.7277358115	0.5964699489
728	0.727756925	0.59645825
729	0.7277689319	0.5964482575
730	0.7277829989	0.5964366347
731	0.7277922268	0.596423765
732	0.7278028532	0.5964146893
733	0.7278151859	0.5964032615
734	0.7278256445	0.5963891711
735	0.7278408216	0.5963776368
736	0.7278512324	0.5963686968
737	0.7278672832	0.5963583619
738	0.7278818516	0.5963467923
739	0.7279001915	0.5963342153
740	0.7279180746	0.5963228161
741	0.7279238626	0.5963125419
742	0.7279395909	0.5963012297
743	0.7279547606	0.5962893725
744	0.7279676871	0.5962759262
745	0.7279791674	0.5962680208
746	0.7279846648	0.596257355
747	0.7279965902	0.5962460169
748	0.7280103175	0.596233673
749	0.728024257	0.5962226476
750	0.7280400889	0.5962111588
751	0.7280515175	0.5961969634
752	0.728066425	0.5961864832
753	0.7280775541	0.5961754224
754	0.7280924159	0.5961654863
755	0.7281057368	0.5961564891
756	0.7281116958	0.5961505639
757	0.7281227135	0.5961378368
758	0.7281363889	0.5961289928
759	0.7281528328	0.5961147896
760	0.7281641774	0.5961034711
761	0.728184755	0.5960905084
762	0.7281890439	0.5960846127
763	0.7282007976	0.5960723772
764	0.7282160126	0.5960587966
765	0.7282323086	0.5960454522
766	0.7282489054	0.5960325389
767	0.7282656474	0.5960202638
768	0.7282795662	0.5960110064
769	0.7282895381	0.5959993043
770	0.7283032449	0.5959864287
771	0.7283171898	0.5959735792
772	0.7283398402	0.595962923
773	0.7283540995	0.5959489719
774	0.7283637383	0.5959400037
775	0.728380884	0.5959305475
776	0.7283900143	0.5959192348
777	0.7284031291	0.5959086379
778	0.7284179905	0.5958954853
779	0.728431217	0.5958824274
780	0.7284414607	0.5958738981
781	0.7284494839	0.5958650361
782	0.7284669778	0.5958505052
783	0.7284826819	0.5958383577
784	0.7284886928	0.5958350402
785	0.7285025101	0.5958242713
786	0.7285214054	0.5958131175
787	0.7285408122	0.5958019889
788	0.7285536802	0.5957901845
789	0.7285676827	0.5957846492
790	0.728576919	0.5957710187
791	0.7285912618	0.5957588909
792	0.7286110527	0.5957471728
793	0.7286245389	0.5957351404
794	0.7286373416	0.5957251111
795	0.7286507693	0.5957168149
796	0.7286627938	0.5957048911
797	0.728676105	0.5956917203
798	0.72868265	0.5956815343
799	0.7287061888	0.5956706174
